dataset,region,method,variant_type,tp,fp,fn,precision,recall,f1
seqc2_wgs_il,medexome,refined_first_rescue,records,704,4,125,0.9943502824858758,0.8492159227985525,0.9160702667534159
seqc2_wgs_il,ukb,workflow_first_rescue,snp,2070,21,135,0.9899569583931134,0.9387755102040817,0.963687150837989
seqc2_wgs_il,ukb,workflow_first_rescue,indel,71,4,24,0.9466666666666667,0.7473684210526316,0.8352941176470587
seqc2_wgs_il,ukb,workflow_first_rescue,records,2141,25,159,0.9884579870729455,0.9308695652173913,0.9587998208687863
seqc2_wgs_il,medexome,workflow_first_rescue,snp,671,4,124,0.9940740740740741,0.8440251572327044,0.9129251700680273
seqc2_wgs_il,medexome,workflow_first_rescue,indel,24,1,10,0.96,0.7058823529411765,0.8135593220338982
seqc2_wgs_il,medexome,workflow_first_rescue,records,695,5,134,0.9928571428571429,0.8383594692400482,0.9090909090909091
seqc2_wgs_il,ukb,refined_realignment_rescue,snp,2091,8,114,0.9961886612672701,0.9482993197278912,0.9716542750929368
seqc2_wgs_il,ukb,refined_realignment_rescue,indel,81,6,14,0.9310344827586207,0.8526315789473684,0.8901098901098902
seqc2_wgs_il,ukb,refined_realignment_rescue,records,2172,14,128,0.9935956084172004,0.9443478260869566,0.968345965225145
seqc2_wgs_il,medexome,refined_realignment_rescue,snp,675,2,120,0.9970457902511078,0.8490566037735849,0.9171195652173914
seqc2_wgs_il,medexome,refined_realignment_rescue,indel,29,2,5,0.9354838709677419,0.8529411764705882,0.8923076923076922
seqc2_wgs_il,medexome,refined_realignment_rescue,records,704,4,125,0.9943502824858758,0.8492159227985525,0.9160702667534159
seqc2_wgs_il,ukb,workflow_realignment_rescue,snp,2071,21,134,0.989961759082218,0.9392290249433106,0.9639283220851756
seqc2_wgs_il,ukb,workflow_realignment_rescue,indel,73,4,22,0.948051948051948,0.7684210526315789,0.8488372093023255
seqc2_wgs_il,ukb,workflow_realignment_rescue,records,2144,25,156,0.9884739511295528,0.9321739130434783,0.9594987692996196
seqc2_wgs_il,medexome,workflow_realignment_rescue,snp,669,5,126,0.9925816023738873,0.8415094339622642,0.9108236895847517
seqc2_wgs_il,medexome,workflow_realignment_rescue,indel,25,1,9,0.9615384615384616,0.7352941176470589,0.8333333333333333
seqc2_wgs_il,medexome,workflow_realignment_rescue,records,694,6,135,0.9914285714285714,0.8371531966224367,0.907782864617397
hg008_wgs,ukb,refined_consensus,snp,410,16,20,0.9624413145539906,0.9534883720930233,0.9579439252336449
hg008_wgs,ukb,refined_consensus,indel,90,4,153,0.9574468085106383,0.37037037037037035,0.5341246290801187
hg008_wgs,ukb,refined_consensus,records,500,20,169,0.9615384615384616,0.7473841554559043,0.8410428931875525
hg008_wgs,medexome,refined_consensus,snp,135,4,19,0.9712230215827338,0.8766233766233766,0.9215017064846416
hg008_wgs,medexome,refined_consensus,indel,17,0,41,1,0.29310344827586204,0.4533333333333333
hg008_wgs,medexome,refined_consensus,records,152,4,59,0.9743589743589743,0.7203791469194313,0.8283378746594006
hg008_wgs,ukb,deepsomatic,snp,408,15,22,0.9645390070921985,0.9488372093023256,0.9566236811254396
hg008_wgs,ukb,deepsomatic,indel,64,9,179,0.8767123287671232,0.26337448559670784,0.40506329113924044
hg008_wgs,ukb,deepsomatic,records,472,24,197,0.9516129032258065,0.7055306427503737,0.8103004291845493
hg008_wgs,medexome,deepsomatic,snp,135,4,19,0.9712230215827338,0.8766233766233766,0.9215017064846416
hg008_wgs,medexome,deepsomatic,indel,19,2,39,0.9047619047619048,0.3275862068965517,0.48101265822784806
hg008_wgs,medexome,deepsomatic,records,154,6,57,0.9625,0.7298578199052133,0.830188679245283
hg008_wgs,ukb,refined_first_rescue,snp,410,21,20,0.951276102088167,0.9534883720930233,0.9523809523809523
hg008_wgs,ukb,refined_first_rescue,indel,90,4,153,0.9574468085106383,0.37037037037037035,0.5341246290801187
hg008_wgs,ukb,refined_first_rescue,records,500,25,169,0.9523809523809523,0.7473841554559043,0.8375209380234505
hg008_wgs,medexome,refined_first_rescue,snp,135,5,19,0.9642857142857143,0.8766233766233766,0.9183673469387756
hg008_wgs,medexome,refined_first_rescue,indel,17,0,41,1,0.29310344827586204,0.4533333333333333
hg008_wgs,medexome,refined_first_rescue,records,152,5,59,0.9681528662420382,0.7203791469194313,0.826086956521739
