patient,status,sample,lane,bam,bai
WES_IL,0,WES_IL_N_1,LX,/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/data/giab/data/seqc2/WES/WES_IL_N_1.bwa.dedup.bam,/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/data/giab/data/seqc2/WES/WES_IL_N_1.bwa.dedup.bai
WES_IL,1,WES_IL_T_1,LX,/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/data/giab/data/seqc2/WES/WES_IL_T_1.bwa.dedup.bam,/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/data/giab/data/seqc2/WES/WES_IL_T_1.bwa.dedup.bai
